"industry","CAR","RateVulnerability","MktBeta","SMBBeta","HMLBeta","RMWBeta","CMABeta","HistVol","PreMomentum","n_estimation","TechGrowth","Finance","Defensive","CAR_z","RateVulnerability_z","MktBeta_z","SMBBeta_z","HMLBeta_z","RMWBeta_z","CMABeta_z","HistVol_z","PreMomentum_z","fitted_m2","rv_resid","car_resid"
"Cnstr",-3.31,4.42013696495882,1.16015075383159,1.23749450631821,-0.0906411317418707,0.586877553827424,0.190689876433453,2.04939976996327,-1.39,230,0,0,0,-0.196238312595828,2.66266961716268,0.771846046234045,2.38122564068736,-0.734197199475055,1.29363333384998,0.243779987227314,0.360542606783835,0.210576844492474,-3.59641179031863,2.37219723723351,-2.31798175589284
"Steel",-3.49,1.11371790040996,1.41217976207112,0.323575412699556,0.750348674863364,-0.0965597147402358,0.0834414361703935,2.50440837411709,-1.44,230,0,0,0,-0.257290232070086,0.319629288864134,1.78096784739526,0.0979735373316713,1.73353444076893,-0.266261695090606,0.0150193775649994,1.13203010804303,0.205383958040471,-3.80503684887426,1.37689153363816,-1.19662810366672
"FabPr",4.75,1.80006999429568,1.01249167858351,1.04707722301145,0.365356996959232,-0.643987582210483,-0.0974316255765417,2.81855625153722,7.49,230,0,0,0,2.53753097052927,0.806001585899569,0.180620484490313,1.90550446836349,0.603846378758197,-1.51572532320097,-0.370782334564609,1.66468192773214,1.13283347836832,0.785777643097756,-0.261150136281722,4.25093448979282
"Mach",-1.46,-0.299230566118027,1.16366166098541,0.483923463607215,0.355234795663078,0.159314000249519,-0.110822436296322,1.71266272268383,1.2,230,0,0,0,0.431239748667376,-0.6816337616604,0.785903685771347,0.498572482096322,0.574144619936329,0.317751138867929,-0.399344894697101,-0.210410163812983,0.479568362706263,-0.493718583240357,-0.291323290921622,-0.646442709071833
"ElcEq",-5.06,1.45470901577044,1.08784875443898,0.692089692741044,0.0674059205134554,-0.037444627917805,-0.365333161857874,2.07769345182146,-11.49,230,1,0,0,-0.789798640817777,0.561267120997224,0.482349514210738,1.0186360017625,-0.27043686797696,-0.131335880665881,-0.94221552854736,0.408515813705482,-0.838386218812262,-3.5023585797335,0.513015508802007,-2.12087210752103
"Autos",-4.62,-2.97599815031647,1.43834386084026,0.102893670487738,-0.258847590447048,-0.349822238686265,-0.3687101101504,3.52911210987022,-17.09,230,0,0,0,-0.640560615436259,-2.57848176453598,1.88572865512967,-0.453357598646958,-1.2277684615522,-0.844314678575579,-0.949418549386652,2.86946126299299,-1.41998950143667,-7.10519301178093,-0.94966548884371,3.52781401790297
"Aero",1.39,2.09019459165842,1.05295138572636,0.368925847794676,0.406415051109368,-0.229724237934589,0.232444937647766,1.69757444312093,-0.0200000000000012,230,0,0,0,1.39789514034312,1.01159368374971,0.34262077497927,0.211272927881702,0.724323771608098,-0.570199872470744,0.33284341077403,-0.235993018712892,0.352861933277374,-1.82684959636806,0.856223595983669,2.27681679787512
"Ships",-1.68,0.137256936172009,1.04737894675537,0.730471281359022,0.376577222563814,0.187494138134169,0.194822749844489,1.59376030864035,5.54,230,0,0,0,0.356620735976616,-0.372323961330114,0.320308781250661,1.11452506191457,0.636770090220136,0.382070219817746,0.252595394135301,-0.412014541107523,0.93031090674018,1.32399553104502,-0.695188792513215,-2.24076000568397
"Guns",-0.44,3.60219216651929,0.449170836610243,-0.0969097816212968,0.0834195830059785,-0.245565174349016,0.541257684459742,1.49120644330043,14.24,230,0,0,0,0.777200625688169,2.08304628096366,-2.07491091903543,-0.952528318977741,-0.223447687729336,-0.606355638483352,0.991540097261268,-0.58589922063507,1.83387314938881,-1.96219063733099,0.874370967243506,0.562234159707157
"Gold",-10.3,4.96301311371404,0.304105576101998,-0.232448761178611,0.0594267165554593,-0.70974858064798,0.896832305561984,2.24062435399781,-2.78,230,0,0,0,-2.5670878521795,3.0473700090286,-2.65575087072413,-1.29114654275899,-0.293850390847815,-1.66581993945713,1.74997972495451,0.684772467866342,0.0662146011267729,-6.62753919898238,1.26237355291766,-5.05839848044979
"Mines",0.61,-0.0386739237320942,1.23030380819514,0.0761610475753374,0.740183427307733,-0.573815465404001,-0.0636926053330144,2.17692270912141,0.110000000000005,230,0,0,0,1.13333682262134,-0.496994516302189,1.05273822237999,-0.520143945402528,1.70370637052727,-1.35556265544643,-0.298817102982804,0.576763471150359,0.366363438052584,-1.61106532794432,0.0865583124157383,2.12603448198928
"Coal",0.06,0.575032439683612,1.34745562735102,0.520351973840978,0.79971926961594,-1.32930667940672,2.03890723405292,3.84445865407468,20.81,230,0,0,0,0.94678929089444,-0.0621014397911386,1.52181301492743,0.589582149356933,1.87840347225029,-3.07991548683503,4.18602220986903,3.40414547599036,2.51621842918209,0.826920871971026,-0.729477901812755,0.0339600622807388
"Oil",0.78,1.17921815272953,1.02428223392746,-0.217457405676798,1.07948041701721,-1.27671239287725,0.82413220460414,2.21083711262518,23.16,230,0,0,0,1.19099696879147,0.366044982005989,0.227829758250034,-1.25369350756073,2.69931168032937,-2.95987291690035,1.59491062206745,0.634266863782846,2.76028409242626,1.94933862346018,0.00423465892928268,-1.17398778087961
"Util",-0.35,2.48235390289952,0.632318035917062,-0.0933891737067424,0.0533815507908278,0.118909337451282,0.575255197252447,1.11608465932216,-7.79,230,0,0,1,0.807726585425298,1.2894910293123,-1.34159123915765,-0.943732753284755,-0.31158883037554,0.225530483741697,1.06405669269506,-1.22193503434785,-0.454112621363992,-4.60387830320264,0.669009908195148,3.51938411363561
"Telcm",-3.59,1.38739665738992,0.712026036202958,0.293406230542444,0.195593146945906,0.0441896005894333,-0.0101710095680203,1.27023367172581,-7.7,230,1,0,0,-0.29120796511134,0.513567308239231,-1.02244114854977,0.0226016044136254,0.105705235123423,0.0549882094831975,-0.184655695625561,-0.960568468275921,-0.444765425750386,-2.19964889035697,-0.209083794889609,-1.16080169550454
"PerSv",-2.29,0.61714854634064,1.00271093295227,0.427599927772444,-0.0474883052951104,0.192297609334537,0.0176858759783285,1.75104510548933,-0.720000000000002,230,0,0,0,0.149722564424965,-0.032256542806852,0.141458470097454,0.357858897533845,-0.607573078288038,0.393033787641339,-0.12523704016311,-0.145331111828771,0.280161522949323,-2.18645167984949,0.0343549338935975,-0.141265996703132
"BusSv",-6.4,0.418944170612486,1.0276773684465,0.160671709708274,-0.0159796654856015,-0.0917507038637474,-0.158717882501602,1.78032414069642,-9.61,230,1,0,0,-1.24429626357058,-0.172710864086199,0.241423845236182,-0.309010215493254,-0.515116705109338,-0.255285483365897,-0.501505741485121,-0.0956871940984482,-0.643133688216925,-3.92240700824049,0.143199721309465,-2.63480944245928
"Hardw",-3.36,-0.979128290029156,1.12606456928102,0.240378656560178,-0.188065872546924,0.376784421503771,0.340844096522813,1.77805052836318,-2.43,230,1,0,0,-0.213197179116455,-1.16343227393081,0.635365280830675,-0.109877649686932,-1.02007238314426,0.814111294595284,0.564058499872898,-0.0995422058098674,0.102564806290799,-2.85275162466953,-0.525837825669157,0.0700597076701371
"Softw",-8.49,-0.259674199883773,1.0849757964318,-0.34434584366049,-0.343148615825139,-0.116921484709435,-0.257554631050029,2.0946875769878,-16.9,230,1,0,0,-1.9531768841328,-0.6536027832761,0.470846217113629,-1.5707000073053,-1.47513448905529,-0.312735929400294,-0.712324237302133,0.437330115327412,-1.40025653291906,-7.89205934984993,0.528840059888332,-1.17854483319747
"Chips",-7.07,-1.59290462340048,1.29581046621445,-0.00452376634538457,-0.56664634225455,0.210961656425859,0.55715235685322,2.13195559547975,-10.29,230,1,0,0,-1.47154507494699,-1.59837493351786,1.31502627084809,-0.721719525100638,-2.13094792068151,0.435633095019884,1.02544338702657,0.500519712624598,-0.713756943964175,-5.76316324650782,-0.335832980554113,-0.938131641863217
"LabEq",-3.68,0.320786737540543,0.912912684511977,-0.255726345916618,-0.232524299629838,0.0994498506133928,-0.0473133187008881,1.72550303927894,-9.25,230,1,0,0,-0.321733924848469,-0.242268539541113,-0.218092880122799,-1.34930113727967,-1.15052755195404,0.181115643960169,-0.263880132462687,-0.188638830974649,-0.605744905762499,-6.06170937543223,0.405521572368691,1.93649438683447
"Paper",-2.58,0.359418748766252,0.750490061743114,0.476907058845752,0.228351667301847,0.540967491064441,-0.0431840139666531,1.25112854238899,-11.37,230,0,0,0,0.0513611386053281,-0.214892590365273,-0.868431548606805,0.481043336418696,0.20182915545517,1.18884701039937,-0.255072337531888,-0.992962072174255,-0.825923291327454,-2.29704615577378,-0.73364125148792,0.522497958271418
"Boxes",0.13,-0.926891218885703,0.983001379732436,0.296984011291403,0.312575901049266,0.382106344669146,0.0840809617102345,1.70130393096066,-8.97000000000001,230,0,0,0,0.970531704023319,-1.12641531935491,0.0625416026137555,0.0315400055012554,0.448969851883817,0.826258190692229,0.0163834836725549,-0.229669504765731,-0.576664741631279,-2.63539907879304,-0.910490316411028,3.76501035340793
"Trans",-1.89,-0.420614623773111,1.05477837892517,0.41181854599388,0.289796043156458,0.169056149312386,-0.194790908576075,1.65378811522367,-11.54,230,0,0,0,0.285393496589983,-0.76765060851075,0.349936038727533,0.318432132745408,0.382126501773237,0.339986873723612,-0.578449400683521,-0.310234702035774,-0.843579105264266,-2.42695922588419,-0.563765200515656,1.15590710540955
"Whlsl",-1.79,0.24231234578884,0.978799045557971,0.502064037941732,0.0669220742214926,0.421472228171477,0.212700169705381,1.35727653475553,1.01,230,0,0,0,0.319311229631237,-0.297878146497582,0.0457154957269383,0.54389323838052,-0.271856626925658,0.916107908887779,0.290727878454286,-0.81298338903081,0.45983539418865,-0.724607607093085,-0.373077009419064,-0.655797718265094
"Rtail",-6.58,1.00409639648808,1.04925093484565,-0.0897891360573697,0.0343427463847222,0.228783809282061,-0.456024227215181,1.86588444948005,-11.15,230,0,0,0,-1.30534818304484,0.241947785242405,0.327804204125233,-0.934738747587223,-0.367454739398879,0.476310841060384,-1.13565930592235,0.0493841479110079,-0.803074590938637,-6.67395775086072,1.26187797705766,-1.29143584456729
"Meals",-2.79,0.48445646743004,0.968433621325354,0.315000917597785,0.0621087674635904,0.0881908608887491,-0.0752877814238285,1.63256844294619,2.31,230,0,0,0,-0.0198661007813057,-0.126286635805886,0.00421243366085472,0.0765518008639361,-0.285980400231095,0.155417832456309,-0.323549579699206,-0.346213608354125,0.594850441940744,-1.41808526250883,-0.065272684894813,-1.30025300691678
"Banks",-3.11,-1.15808938248429,1.1280425952178,0.120849972373516,0.860854450847351,-0.0307074329434411,-0.660183184243546,1.6716258830379,0.369999999999998,230,0,1,0,-0.128402846513319,-1.29025015413075,0.643285278254847,-0.408497211840878,2.05779354317848,-0.11595873131677,-1.57112976463743,-0.279989966456256,0.393366447603003,-0.350561731071737,-0.522741561493697,-2.18552951980654
"Insur",-1.83,-0.513213618973412,0.840069037815396,-0.0886139746643737,0.213381594403546,0.141241929292683,0.213418671094609,1.22591034357964,6.97,230,0,1,0,0.305744136414735,-0.833269386977306,-0.50975816290541,-0.931802831551465,0.157902199078592,0.27650297324285,0.29226043981779,-1.03572065961211,1.07882745926748,-0.49307315343341,-0.736505994993728,-0.528329892653644
"RlEst",-2.93,0.667970939322253,1.21392865972877,0.760167900753688,0.245276332406647,0.0839547674814385,-0.173443550320513,2.00103067661363,-14.02,230,0,1,0,-0.0673509270390617,0.00375792299795475,0.98717228046685,1.18871638713019,0.25149150718835,0.145749262490787,-0.532915547909123,0.278530639041202,-1.10114627328365,-3.00792997907022,0.166560442425325,-0.104933795702795
"Fin",-0.35,0.0162726209924745,1.09640702773197,-0.0577639950530064,0.515747942315595,-0.149452743691135,-0.510264565609465,1.69387086623704,0.419999999999999,230,0,1,0,0.807726585425298,-0.458057537148311,0.516616760749433,-0.85473005637042,1.04514125694488,-0.386986122511775,-1.25135378920744,-0.24227259947201,0.398559334055006,-2.19122739122122,0.355896523864207,1.45049486893231
"Other",-2.26,0.670066079709772,0.830134571966138,-0.0845635719111859,0.464900587749153,0.016267068040125,-0.101806019276266,1.16405429909425,1.69,230,0,0,0,0.159897884337342,0.00524261030635954,-0.549535671619206,-0.921683674757141,0.89593894236176,-0.00874290633725283,-0.380112903542558,-1.14060035806651,0.530458649935899,-1.42393049659805,0.0537763368846925,-0.89510959607347
